countries,decision
NZ/MX,oppose
CA/NZ/CL/VN/MX,propose
CA/CL/MX,oppose
CA/NZ/CL/VN,propose
CA,propose
CA/CL/VN,propose
CA,oppose
CA,propose
CA,propose
US/AU/SG/NZ/PE,propose
BN/VN/CA/MX,oppose
SG/MY,oppose
MY/VN,oppose
MY/NZ/SG,propose
NZ/MY/VN,oppose
PE,propose
MY/VN,oppose
NZ,oppose
CL,propose
MY,oppose
CL,oppose
CL/MY,oppose
NZ,propose
CL,oppose
CL,propose
MY,oppose
MY,oppose
NZ,oppose
MY/NZ,oppose
NZ/MY,oppose
NZ,oppose
MY,oppose
CL,propose
CL,propose
NZ,oppose
CL,propose
NZ,oppose
CL,oppose
CL,propose
NZ,oppose
NZ,oppose
SG,propose
SG/AU,oppose
SG/AU,propose
SG/AU,propose
SG/AU,propose
CL,propose
